순번,국립공원,사무소,관리지구,탐방지역,일자,전체 탐방객수
230,설악산,설악산,설악동,설악동 야영장,2018.1.20,51
231,설악산,설악산,설악동,설악동 탐방안내소,2018.1.20,0
232,설악산,설악산,오색지구,남설악,2018.1.20,138
233,설악산,설악산,오색지구,약수터입구,2018.1.20,401
234,설악산,설악산,오색지구,용소폭포,2018.1.20,49
235,설악산,설악산,오색지구,흘림골,2018.1.20,0
236,설악산,설악산,장수대지구,장수대,2018.1.20,39
237,설악산,설악산,장수대지구,한계령,2018.1.20,228
238,설악산,설악산,백담지구,남교리,2018.1.20,31
239,설악산,설악산,백담지구,백담,2018.1.20,266
240,설악산,설악산,점봉산,점봉산(곰배령),2018.1.20,187
241,설악산,설악산,설악동,설악동,2018.1.21,6203
242,설악산,설악산,설악동,설악동 야영장,2018.1.21,21
243,설악산,설악산,설악동,설악동 탐방안내소,2018.1.21,0
244,설악산,설악산,오색지구,남설악,2018.1.21,79
245,설악산,설악산,오색지구,약수터입구,2018.1.21,328
246,설악산,설악산,오색지구,용소폭포,2018.1.21,55
247,설악산,설악산,오색지구,흘림골,2018.1.21,0
248,설악산,설악산,장수대지구,장수대,2018.1.21,40
249,설악산,설악산,장수대지구,한계령,2018.1.21,150
250,설악산,설악산,백담지구,남교리,2018.1.21,19
251,설악산,설악산,백담지구,백담,2018.1.21,221
252,설악산,설악산,점봉산,점봉산(곰배령),2018.1.21,166
253,설악산,설악산,설악동,설악동,2018.1.22,4579
254,설악산,설악산,설악동,설악동 야영장,2018.1.22,6
255,설악산,설악산,설악동,설악동 탐방안내소,2018.1.22,0
256,설악산,설악산,오색지구,남설악,2018.1.22,54
257,설악산,설악산,오색지구,약수터입구,2018.1.22,181
258,설악산,설악산,오색지구,용소폭포,2018.1.22,11
259,설악산,설악산,오색지구,흘림골,2018.1.22,0
260,설악산,설악산,장수대지구,장수대,2018.1.22,8
261,설악산,설악산,장수대지구,한계령,2018.1.22,51
262,설악산,설악산,백담지구,남교리,2018.1.22,30
263,설악산,설악산,백담지구,백담,2018.1.22,42
264,설악산,설악산,점봉산,점봉산(곰배령),2018.1.22,0
265,설악산,설악산,설악동,설악동,2018.1.23,1189
266,설악산,설악산,설악동,설악동 야영장,2018.1.23,3
267,설악산,설악산,설악동,설악동 탐방안내소,2018.1.23,0
268,설악산,설악산,오색지구,남설악,2018.1.23,8
269,설악산,설악산,오색지구,약수터입구,2018.1.23,97
270,설악산,설악산,오색지구,용소폭포,2018.1.23,2
271,설악산,설악산,오색지구,흘림골,2018.1.23,0
272,설악산,설악산,장수대지구,장수대,2018.1.23,0
273,설악산,설악산,장수대지구,한계령,2018.1.23,1
274,설악산,설악산,백담지구,남교리,2018.1.23,2
275,설악산,설악산,백담지구,백담,2018.1.23,21
276,설악산,설악산,점봉산,점봉산(곰배령),2018.1.23,0
277,설악산,설악산,설악동,설악동,2018.1.24,2460
