"	90",속초,2017.11.27,,,
"	90",속초,2017.11.28,,,
"	90",속초,2017.11.29,,,
"	90",속초,2017.11.30,,,
"	90",속초,2017.12.1,,,
"	90",속초,2017.12.2,,,
"	90",속초,2017.12.3,,,
"	90",속초,2017.12.4,,,
"	90",속초,2017.12.5,,,
"	90",속초,2017.12.6,,,
"	90",속초,2017.12.7,,,
"	90",속초,2017.12.8,,,
"	90",속초,2017.12.9,,,
"	90",속초,2017.12.10,0.5,,
"	90",속초,2017.12.11,,,
"	90",속초,2017.12.12,,,
"	90",속초,2017.12.13,,,
"	90",속초,2017.12.14,,,
"	90",속초,2017.12.15,,,
"	90",속초,2017.12.16,,,
"	90",속초,2017.12.17,,,
"	90",속초,2017.12.18,0,,
"	90",속초,2017.12.19,,,
"	90",속초,2017.12.20,0,,
"	90",속초,2017.12.21,,,
"	90",속초,2017.12.22,,,
"	90",속초,2017.12.23,,,
"	90",속초,2017.12.24,9.4,,
"	90",속초,2017.12.25,,,
"	90",속초,2017.12.26,,,
"	90",속초,2017.12.27,,,
"	90",속초,2017.12.28,,,
"	90",속초,2017.12.29,,,
"	90",속초,2017.12.30,,,
"	90",속초,2017.12.31,,,
"	90",속초,2018.1.1,,,
"	90",속초,2018.1.2,,,
"	90",속초,2018.1.3,,,
"	90",속초,2018.1.4,,,
"	90",속초,2018.1.5,,,
"	90",속초,2018.1.6,,,
"	90",속초,2018.1.7,,,
"	90",속초,2018.1.8,1.1,,
"	90",속초,2018.1.9,0.4,,
"	90",속초,2018.1.10,,,
"	90",속초,2018.1.11,,,
"	90",속초,2018.1.12,,,
"	90",속초,2018.1.13,,,
"	90",속초,2018.1.14,,,
"	90",속초,2018.1.15,,,
"	90",속초,2018.1.16,,,
"	90",속초,2018.1.17,,,
"	90",속초,2018.1.18,,,
"	90",속초,2018.1.19,,,
"	90",속초,2018.1.20,,,
"	90",속초,2018.1.21,,,
"	90",속초,2018.1.22,2.4,,
"	90",속초,2018.1.23,,,
"	90",속초,2018.1.24,,,
"	90",속초,2018.1.25,,,
"	90",속초,2018.1.26,,,
"	90",속초,2018.1.27,,,
"	90",속초,2018.1.28,,,
"	90",속초,2018.1.29,,,
"	90",속초,2018.1.30,,,
"	90",속초,2018.1.31,,,
"	90",속초,2018.2.1,,,
"	90",속초,2018.2.2,,,
"	90",속초,2018.2.3,,,
"	90",속초,2018.2.4,,,
"	90",속초,2018.2.5,,,
"	90",속초,2018.2.6,,,
"	90",속초,2018.2.7,,,
"	90",속초,2018.2.8,,,
"	90",속초,2018.2.9,,,
"	90",속초,2018.2.10,,,
"	90",속초,2018.2.11,,,
"	90",속초,2018.2.12,,,
"	90",속초,2018.2.13,,,
"	90",속초,2018.2.14,,,
"	90",속초,2018.2.15,,,
"	90",속초,2018.2.16,,,
"	90",속초,2018.2.17,,,
"	90",속초,2018.2.18,,,
"	90",속초,2018.2.19,,,
"	90",속초,2018.2.20,,,
"	90",속초,2018.2.21,,,
"	90",속초,2018.2.22,,,
"	90",속초,2018.2.23,0,,
"	90",속초,2018.2.24,5.4,,
"	90",속초,2018.2.25,,,
"	90",속초,2018.2.26,,,
"	90",속초,2018.2.27,,,
"	90",속초,2018.2.28,49,,
"	90",속초,2018.3.1,0.6,,
"	90",속초,2018.3.2,,,
"	90",속초,2018.3.3,,,
"	90",속초,2018.3.4,16,,
"	90",속초,2018.3.5,22,,
"	90",속초,2018.3.6,,,
"	90",속초,2018.3.7,2.4,,
"	90",속초,2018.3.8,9.4,,
"	90",속초,2018.3.9,0,,
"	90",속초,2018.3.10,,,
"	90",속초,2018.3.11,,,
"	90",속초,2018.3.12,,,
"	90",속초,2018.3.13,,,
"	90",속초,2018.3.14,,,
"	90",속초,2018.3.15,2.7,,
"	90",속초,2018.3.16,0.1,,
"	90",속초,2018.3.17,,,
"	90",속초,2018.3.18,0,,
"	90",속초,2018.3.19,1.8,,
"	90",속초,2018.3.20,,,
"	90",속초,2018.3.21,,,
"	90",속초,2018.3.22,,,
"	90",속초,2018.3.23,,,
"	90",속초,2018.3.24,,,
"	90",속초,2018.3.25,,,
"	90",속초,2018.3.26,,,
"	90",속초,2018.3.27,,,
"	90",속초,2018.3.28,,,
"	90",속초,2018.3.29,,,
"	90",속초,2018.3.30,,,
"	90",속초,2018.3.31,,,
"	90",속초,2018.4.1,,,
"	90",속초,2018.4.2,,,
"	90",속초,2018.4.3,1.6,1.5,23:12
"	90",속초,2018.4.4,22.6,3.9,5:43
"	90",속초,2018.4.5,11,3.5,7:56
"	90",속초,2018.4.6,5.7,1.6,4:08
"	90",속초,2018.4.7,,,
"	90",속초,2018.4.8,2.1,1.8,19:45
"	90",속초,2018.4.9,,,
"	90",속초,2018.4.10,6,3.8,22:29
"	90",속초,2018.4.11,0,0,
"	90",속초,2018.4.12,,,
"	90",속초,2018.4.13,,,
"	90",속초,2018.4.14,19.1,4.1,9:12
"	90",속초,2018.4.15,,,
"	90",속초,2018.4.16,,,
"	90",속초,2018.4.17,,,
"	90",속초,2018.4.18,,,
"	90",속초,2018.4.19,,,
"	90",속초,2018.4.20,,,
"	90",속초,2018.4.21,,,
"	90",속초,2018.4.22,4.8,1.8,19:58
"	90",속초,2018.4.23,56.8,6.3,8:53
"	90",속초,2018.4.24,12,3,2:31
"	90",속초,2018.4.25,,,
"	90",속초,2018.4.26,,,
"	90",속초,2018.4.27,,,
"	90",속초,2018.4.28,,,
"	90",속초,2018.4.29,,,
"	90",속초,2018.4.30,,,
"	90",속초,2018.5.1,0.6,0.6,15:54
"	90",속초,2018.5.2,16.6,4.7,18:15
"	90",속초,2018.5.3,0.6,0.6,14:29
"	90",속초,2018.5.4,,,
"	90",속초,2018.5.5,,,
"	90",속초,2018.5.6,3.4,0.9,8:14
"	90",속초,2018.5.7,1.8,1.9,23:02
"	90",속초,2018.5.8,14.6,4.5,6:27
"	90",속초,2018.5.9,0,0,
"	90",속초,2018.5.10,,,
"	90",속초,2018.5.11,,,
"	90",속초,2018.5.12,5.7,2,10:34
"	90",속초,2018.5.13,,,
"	90",속초,2018.5.14,,,
"	90",속초,2018.5.15,,,
"	90",속초,2018.5.16,10.5,5.8,7:48
"	90",속초,2018.5.17,47.3,14.1,22:55
"	90",속초,2018.5.18,19.3,7.4,#VALUE!
"	90",속초,2018.5.19,,,
"	90",속초,2018.5.20,,,
"	90",속초,2018.5.21,,,
"	90",속초,2018.5.22,2.4,1.1,18:43
"	90",속초,2018.5.23,0.8,0.4,1:56
"	90",속초,2018.5.24,,,
"	90",속초,2018.5.25,,,
"	90",속초,2018.5.26,,,
"	90",속초,2018.5.27,,,
"	90",속초,2018.5.28,0,0,
"	90",속초,2018.5.29,0,0,
"	90",속초,2018.5.30,0,0,
"	90",속초,2018.5.31,,,
"	90",속초,2018.6.1,,,
"	90",속초,2018.6.2,,,
"	90",속초,2018.6.3,,,
"	90",속초,2018.6.4,,,
"	90",속초,2018.6.5,,,
"	90",속초,2018.6.6,,,
"	90",속초,2018.6.7,,,
"	90",속초,2018.6.8,,,
"	90",속초,2018.6.9,1.5,0.7,8:05
"	90",속초,2018.6.10,7,1.7,18:23
"	90",속초,2018.6.11,1.2,0.5,6:13
"	90",속초,2018.6.12,,,
"	90",속초,2018.6.13,0,0,
"	90",속초,2018.6.14,0.5,0.5,15:44
"	90",속초,2018.6.15,1.3,1,6:28
"	90",속초,2018.6.16,,,
"	90",속초,2018.6.17,,,
"	90",속초,2018.6.18,,,
"	90",속초,2018.6.19,,,
"	90",속초,2018.6.20,,,
"	90",속초,2018.6.21,,,
"	90",속초,2018.6.22,,,
"	90",속초,2018.6.23,,,
"	90",속초,2018.6.24,,,
"	90",속초,2018.6.25,,,
"	90",속초,2018.6.26,18.6,3.7,11:30
"	90",속초,2018.6.27,,,
"	90",속초,2018.6.28,16.4,12.4,16:49
"	90",속초,2018.6.29,,,
"	90",속초,2018.6.30,0,0,
"	90",속초,2018.7.1,53.2,12.3,10:47
"	90",속초,2018.7.2,17.8,3.4,19:21
"	90",속초,2018.7.3,0.4,0.2,
"	90",속초,2018.7.4,17.1,4.9,22:20
"	90",속초,2018.7.5,32.7,7.2,2:23
"	90",속초,2018.7.6,11.2,4,4:47
"	90",속초,2018.7.7,2.5,1.5,3:12
"	90",속초,2018.7.8,,,
"	90",속초,2018.7.9,11.3,2.4,15:20
"	90",속초,2018.7.10,12.3,6.8,2:34
"	90",속초,2018.7.11,23.2,3.9,7:41
"	90",속초,2018.7.12,,,
"	90",속초,2018.7.13,,,
"	90",속초,2018.7.14,,,
"	90",속초,2018.7.15,,,
"	90",속초,2018.7.16,,,
"	90",속초,2018.7.17,,,
"	90",속초,2018.7.18,,,
"	90",속초,2018.7.19,,,
"	90",속초,2018.7.20,,,
"	90",속초,2018.7.21,,,
"	90",속초,2018.7.22,,,
"	90",속초,2018.7.23,,,
"	90",속초,2018.7.24,,,
"	90",속초,2018.7.25,,,
"	90",속초,2018.7.26,,,
"	90",속초,2018.7.27,,,
"	90",속초,2018.7.28,0.1,0.1,
"	90",속초,2018.7.29,0,0,
"	90",속초,2018.7.30,3.6,1.4,5:22
"	90",속초,2018.7.31,,,
